T,current_km,best_km
164.381811022,-8431511.08989,-8434651.71291
164.217511333,-8433414.30248,-8434651.71291
164.053375862,-8436781.47742,-8437058.72815
163.889404445,-8440861.17731,-8441150.61973
163.725596917,-8444147.10284,-8444147.10284
163.561953114,-8445131.39577,-8446030.95411
163.398472874,-8446636.73795,-8447310.61998
163.235156033,-8449500.63783,-8450561.67803
163.072002426,-8450197.63339,-8450561.67803
162.909011892,-8447917.8972,-8450561.67803
162.746184267,-8448704.24116,-8450561.67803
162.583519388,-8450661.12317,-8450808.13254
162.421017092,-8454650.54104,-8454650.54104
162.258677218,-8453605.67118,-8454661.76549
162.096499603,-8455001.69227,-8455001.69227
161.934484084,-8457730.67358,-8457730.67358
161.7726305,-8454561.56194,-8459162.6662
161.610938688,-8456227.96008,-8459162.6662
161.449408488,-8454293.02201,-8459162.6662
161.288039737,-8455454.80878,-8459162.6662
161.126832274,-8456693.74786,-8459162.6662
160.965785938,-8457115.69522,-8459427.50477
160.804900568,-8457870.82923,-8459427.50477
160.644176003,-8458379.9369,-8459427.50477
160.483612082,-8460010.18392,-8460037.33257
160.323208645,-8463965.55177,-8463965.55177
160.162965531,-8463146.08453,-8464724.49575
160.00288258,-8463349.62921,-8464724.49575
159.842959633,-8461287.86144,-8464724.49575
159.683196528,-8460630.929,-8464724.49575
159.523593107,-8462991.99946,-8464724.49575
159.364149209,-8463268.45026,-8464760.29328
159.204864675,-8465264.54148,-8465495.39733
159.045739347,-8467963.54768,-8468621.3924
158.886773064,-8470807.86441,-8471219.11349
158.727965668,-8470268.12664,-8471219.11349
158.569317001,-8472807.1218,-8472807.1218
158.410826902,-8471260.82805,-8472812.82773
158.252495215,-8472456.15558,-8473869.36681
158.09432178,-8473318.272,-8474027.75972
157.936306439,-8470732.63595,-8474027.75972
157.778449035,-8471104.05415,-8474027.75972
157.62074941,-8473518.83716,-8474209.61879
157.463207405,-8478468.12698,-8478517.99756
157.305822864,-8476414.83844,-8478724.01477
157.148595629,-8478343.83572,-8479036.7098
156.991525542,-8476475.24468,-8479036.7098
156.834612447,-8479532.58431,-8479549.71208
156.677856186,-8481006.7913,-8481532.23774
156.521256604,-8483559.46937,-8483903.95277
156.364813543,-8482733.21034,-8484498.88689
156.208526846,-8486117.48407,-8486187.513
156.052396359,-8487175.29275,-8487612.02244
155.896421924,-8487547.12266,-8488488.89459
155.740603385,-8488401.02208,-8488774.33046
155.584940587,-8487547.86818,-8489384.41897
155.429433374,-8489349.0272,-8489562.69388
155.274081591,-8491276.71203,-8491276.71203
155.118885082,-8492405.23083,-8493104.27135
154.963843691,-8491426.05102,-8493104.27135
154.808957265,-8490029.37122,-8493104.27135
154.654225648,-8490613.72673,-8493104.27135
154.499648685,-8490040.20538,-8493104.27135
154.345226222,-8489072.90216,-8493104.27135
154.190958104,-8491859.32531,-8493448.68053
154.036844177,-8491348.26568,-8493448.68053
153.882884287,-8494701.08952,-8494739.70141
153.72907828,-8492319.31692,-8494739.70141
153.575426003,-8493233.67169,-8494739.70141
153.4219273,-8493929.36,-8494739.70141
153.26858202,-8493622.63466,-8495240.26938
153.115390009,-8492232.69115,-8495240.26938
152.962351113,-8491294.70975,-8495240.26938
152.809465179,-8494588.25686,-8495240.26938
152.656732055,-8493784.8086,-8495431.03152
152.504151588,-8493780.49357,-8495431.03152
152.351723625,-8496287.29418,-8496287.29418
152.199448014,-8493975.48869,-8496287.29418
152.047324602,-8494380.64509,-8496287.29418
151.895353238,-8496316.18676,-8496883.74864
151.743533769,-8497953.42424,-8498575.81132
151.591866044,-8497173.46742,-8498575.81132
151.44034991,-8498393.9391,-8498575.81132
151.288985218,-8500055.03378,-8500055.03378
151.137771814,-8504442.39022,-8504442.39022
150.986709548,-8503540.69169,-8504997.27767
150.835798269,-8504059.39176,-8505356.62523
150.685037826,-8504664.60183,-8505376.68444
150.534428068,-8505923.63568,-8506704.59048
150.383968844,-8508388.85537,-8508388.85537
150.233660005,-8509138.05872,-8509416.24974
150.083501399,-8507602.14744,-8509850.39943
149.933492877,-8509502.70366,-8509850.39943
149.783634289,-8511003.5278,-8511003.5278
149.633925484,-8512900.4607,-8513252.07854
149.484366313,-8515047.33518,-8515140.5991
149.334956627,-8516757.72664,-8517147.4093
149.185696275,-8518346.48328,-8518880.01317
149.03658511,-8518330.02149,-8519422.06787
148.887622981,-8516873.33424,-8519422.06787
148.73880974,-8519427.08464,-8520175.54557
148.590145237,-8521486.43633,-8521647.21649
148.441629325,-8519027.30893,-8521647.21649
148.293261855,-8520244.08223,-8521647.21649
148.145042678,-8519891.3732,-8521647.21649
147.996971646,-8520783.38245,-8521902.04961
147.849048612,-8523030.08766,-8523265.532
147.701273426,-8523279.96009,-8523985.65351
147.553645942,-8524405.91909,-8524749.78268
147.406166011,-8525157.00516,-8526164.05234
