T,current_km,best_km
1732.25254784,29906.0861897,22616.9900103
1697.95147943,31531.707313,22616.9900103
1664.32962105,39792.6812619,22616.9900103
1631.37352336,37425.1088489,22616.9900103
1599.07000335,38636.1492107,22616.9900103
1567.40613907,34933.1631321,22616.9900103
1536.36926441,31734.1695744,22358.9009017
1505.94696409,30836.9963649,22358.9009017
1476.12706866,30368.6621355,22358.9009017
1446.89764964,41730.7538667,22358.9009017
1418.24701476,36842.3673245,20689.7446202
1390.16370327,37796.1070377,20689.7446202
1362.63648136,36336.1739887,20689.7446202
1335.65433767,28345.8919857,20689.7446202
1309.20647885,27843.4964466,20689.7446202
1283.28232533,33477.1972658,20689.7446202
1257.87150698,30017.4544172,20689.7446202
1232.96385903,30202.4022415,20689.7446202
1208.549418,33208.6148462,20689.7446202
1184.61841769,34312.0828719,20689.7446202
1161.16128528,35908.5244246,20324.7902186
1138.16863751,26553.6492091,19963.3209001
1115.63127692,32688.3738218,19963.3209001
1093.54018818,27546.0476703,18979.1573045
1071.88653447,35942.4005678,18979.1573045
1050.66165396,27360.4822581,18979.1573045
1029.85705632,29533.1908596,18979.1573045
1009.46441935,27849.2885131,18979.1573045
989.475585652,29509.0020411,18979.1573045
969.882559337,28225.7326291,18979.1573045
950.677502857,27756.1832811,18979.1573045
931.852733857,27638.1869988,18979.1573045
913.400722104,26639.1462065,18979.1573045
895.314086471,20674.6879515,18979.1573045
877.585591993,25412.4190123,18979.1573045
860.208146963,29402.4112227,18979.1573045
843.174800103,28540.1135993,18979.1573045
826.478737779,25986.7838714,18979.1573045
810.113281275,24547.6661083,18979.1573045
794.071884126,31581.8975629,18979.1573045
778.348129496,29064.1041183,18979.1573045
762.935727608,26694.285954,18979.1573045
747.828513237,26473.0711496,18979.1573045
733.020443233,30174.8982889,18979.1573045
718.505594113,25556.0320641,18979.1573045
704.278159685,28257.1647494,18979.1573045
690.332448728,24566.7461073,18131.916266
676.662882717,23980.3288853,18131.916266
663.263993589,25449.3218729,18131.916266
650.130421554,24303.3025819,16186.1783453
637.256912958,22104.0673167,16130.9508835
624.638318173,19420.7825092,16130.9508835
612.269589542,24088.26012,16130.9508835
600.14577936,24012.3239213,16130.9508835
588.262037893,21181.7129857,16130.9508835
576.613611438,22094.8328794,15863.7199644
565.195840422,22676.07445,15863.7199644
554.004157539,21429.2751474,15863.7199644
543.034085923,23593.0583459,15863.7199644
532.281237353,22111.7555337,15863.7199644
521.741310506,24778.8861792,15863.7199644
511.410089226,20022.5399063,15863.7199644
501.283440846,24583.7560022,15299.5576052
491.357314532,20494.418729,15299.5576052
481.627739661,13635.8732621,13635.8732621
472.090824234,19878.2350853,13635.8732621
462.74275332,18411.7936323,13635.8732621
453.579787528,19678.6464241,13635.8732621
444.598261514,20915.8377623,13635.8732621
435.79458251,19713.6546385,13635.8732621
427.165228894,19953.292161,13635.8732621
418.706748774,16646.7892121,13635.8732621
410.415758611,19989.1139829,13635.8732621
402.288941866,15545.4284039,13635.8732621
394.32304767,21896.9220533,13635.8732621
386.514889529,18264.812802,13635.8732621
378.861344043,17208.9760999,13635.8732621
371.359349662,16907.3346225,13635.8732621
364.005905458,21093.7129065,13635.8732621
356.798069926,15281.9697469,13635.8732621
349.732959806,15732.371189,13635.8732621
342.807748933,17401.5689782,13635.8732621
336.019667101,16102.6155456,13635.8732621
329.36599896,17800.0953253,13635.8732621
322.844082929,19884.2211361,13635.8732621
316.451310126,17666.4329046,13635.8732621
310.185123333,18107.2122742,13635.8732621
304.043015966,14135.4788595,13635.8732621
298.022531076,15485.7037636,13635.8732621
292.121260364,14403.6302505,13635.8732621
286.33684322,16793.994193,13635.8732621
280.666965776,18100.4719602,13635.8732621
275.109359983,14789.7751662,13487.8542574
269.661802704,15515.2538763,13404.5545369
264.322114819,15054.3743055,13404.5545369
259.088160363,14796.5717782,13404.5545369
253.957845661,16128.6869095,13404.5545369
